2,Capteur,140m,noir
3,Batterie,54%
6,Moteur,45W
6,Moteur,234W
6,Capteur,849m,rouge
5,Moteur,258W
8,Moteur,299W
5,Capteur,200m,rouge
4,Capteur,496m,noir
3,Batterie,14%
8,Batterie,90%
4,Batterie,89%
7,Batterie,90%
3,Batterie,23%
8,Batterie,1%
7,Moteur,119W
7,Capteur,889m,jaune
6,Batterie,53%
6,Moteur,216W
7,Moteur,231W
8,Batterie,41%
4,Batterie,26%
3,Batterie,19%
5,Moteur,148W
5,Moteur,127W
4,Batterie,44%
7,Batterie,54%
5,Moteur,222W
5,Capteur,884m,jaune
8,Batterie,61%
3,Moteur,173W
7,Batterie,28%
8,Batterie,88%
3,Capteur,43m,rouge
5,Moteur,97W
8,Moteur,254W
7,Moteur,273W
5,Moteur,181W
7,Capteur,360m,rouge
3,Capteur,104m,noir
5,Moteur,149W
3,Capteur,36m,rouge
4,Capteur,339m,rouge
3,Capteur,351m,rouge
4,Capteur,521m,noir
7,Moteur,259W
8,Batterie,26%
3,Capteur,738m,noir
8,Capteur,98m,noir
6,Moteur,212W
5,Moteur,154W
5,Moteur,228W
3,Batterie,45%
4,Capteur,328m,noir
6,Capteur,918m,rouge
6,Batterie,61%
8,Moteur,156W
3,Capteur,343m,jaune
3,Moteur,88W
5,Capteur,392m,rouge
4,Batterie,94%
4,Moteur,34W
3,Moteur,267W
8,Moteur,203W
6,Moteur,148W
5,Capteur,944m,jaune
7,Batterie,57%
5,Capteur,350m,jaune
4,Capteur,260m,noir
3,Moteur,84W
8,Capteur,640m,rouge
6,Batterie,57%
4,Capteur,320m,noir
5,Batterie,20%
5,Capteur,953m,noir
8,Batterie,16%
6,Batterie,100%
5,Moteur,178W
7,Batterie,81%
3,Capteur,46m,jaune
6,Batterie,54%
5,Batterie,69%
3,Batterie,80%
5,Batterie,56%
4,Moteur,77W
8,Moteur,243W
3,Moteur,212W
6,Capteur,247m,jaune
8,Batterie,11%
4,Moteur,182W
8,Capteur,340m,noir
5,Batterie,81%
3,Batterie,44%
4,Batterie,56%
5,Moteur,128W
4,Capteur,208m,rouge
4,Batterie,26%
7,Batterie,89%
3,Capteur,327m,rouge
6,Batterie,41%
3,Batterie,76%
8,Batterie,63%
6,Moteur,198W
5,Capteur,421m,noir
6,Capteur,569m,noir
6,Capteur,977m,noir
5,Moteur,190W
7,Capteur,807m,rouge
3,Batterie,53%
4,Capteur,527m,noir
8,Moteur,171W
8,Batterie,37%
5,Capteur,301m,noir
6,Moteur,172W
8,Moteur,46W
8,Capteur,391m,jaune
3,Batterie,5%
7,Moteur,274W
6,Batterie,89%
3,Batterie,90%
6,Capteur,423m,jaune
8,Moteur,285W
3,Capteur,256m,jaune
3,Capteur,66m,jaune
8,Capteur,17m,noir
7,Batterie,65%
7,Moteur,300W
8,Moteur,227W
6,Capteur,913m,rouge
6,Batterie,91%
4,Moteur,281W
3,Moteur,102W
4,Moteur,129W
7,Moteur,212W
8,Batterie,44%
8,Capteur,990m,rouge
3,Capteur,534m,rouge
5,Capteur,6m,rouge
4,Moteur,148W
3,Capteur,63m,jaune
5,Moteur,207W
8,Moteur,148W
5,Moteur,61W
3,Batterie,12%
3,Capteur,932m,jaune
4,Capteur,735m,jaune
6,Moteur,286W
5,Batterie,37%
8,Batterie,21%
3,Moteur,135W
7,Moteur,105W
4,Batterie,5%
6,Capteur,211m,noir
7,Capteur,945m,noir
7,Moteur,71W
5,Moteur,268W
8,Batterie,33%
7,Moteur,35W
6,Moteur,93W
5,Moteur,145W
3,Moteur,98W
4,Moteur,229W
6,Moteur,164W
8,Capteur,335m,jaune
7,Capteur,500m,jaune
3,Moteur,157W
3,Moteur,82W
3,Batterie,61%
6,Capteur,965m,rouge
6,Batterie,82%
4,Moteur,197W
7,Moteur,201W
5,Capteur,495m,noir
7,Batterie,57%
5,Capteur,497m,jaune
7,Capteur,798m,noir
4,Capteur,181m,noir
8,Moteur,205W
4,Capteur,394m,jaune
8,Capteur,217m,rouge
8,Moteur,51W
3,Batterie,34%
6,Capteur,961m,jaune
4,Batterie,80%
8,Capteur,557m,jaune
4,Batterie,29%
7,Moteur,50W
6,Moteur,90W
3,Batterie,12%
4,Capteur,877m,rouge
5,Batterie,88%
8,Capteur,420m,jaune
8,Batterie,43%
7,Capteur,894m,noir
8,Moteur,212W
7,Batterie,21%
5,Moteur,300W
6,Moteur,80W
5,Moteur,227W
4,Capteur,167m,rouge
7,Batterie,23%
4,Batterie,17%
5,Capteur,338m,jaune
3,Moteur,122W
7,Batterie,74%
7,Moteur,61W
5,Batterie,37%
3,Moteur,77W
7,Batterie,98%
6,Batterie,37%
6,Capteur,26m,jaune
7,Batterie,80%
8,Moteur,104W
5,Batterie,5%
8,Batterie,61%
3,Batterie,14%
4,Batterie,12%
6,Moteur,142W
7,Batterie,87%
3,Batterie,18%
8,Moteur,52W
6,Capteur,756m,noir
4,Batterie,94%
8,Capteur,582m,noir
4,Batterie,66%
5,Batterie,38%
4,Batterie,10%
5,Moteur,270W
4,Capteur,171m,rouge
7,Batterie,36%
5,Moteur,156W
6,Capteur,818m,rouge
8,Batterie,36%
7,Batterie,68%
6,Moteur,295W
8,Moteur,292W
4,Capteur,115m,jaune
6,Capteur,108m,rouge
7,Batterie,92%
5,Batterie,74%
7,Moteur,217W
4,Moteur,205W
3,Batterie,92%
6,Batterie,54%
3,Batterie,75%
4,Capteur,735m,noir
3,Batterie,69%
7,Batterie,22%
7,Moteur,223W
4,Capteur,696m,noir
7,Batterie,100%
7,Capteur,862m,noir
7,Moteur,118W
7,Batterie,71%
3,Moteur,193W
7,Batterie,77%
8,Moteur,264W
4,Capteur,886m,jaune
6,Batterie,30%
5,Moteur,78W
7,Moteur,285W
7,Capteur,964m,noir
8,Batterie,58%
4,Moteur,281W
5,Batterie,49%
4,Capteur,943m,rouge
6,Moteur,253W
5,Batterie,16%
5,Moteur,255W
8,Batterie,37%
8,Moteur,203W
7,Batterie,71%
7,Batterie,40%
3,Batterie,94%
8,Batterie,58%
4,Batterie,18%
3,Capteur,36m,noir
4,Batterie,43%
4,Batterie,43%
4,Batterie,98%
8,Capteur,39m,noir
4,Batterie,4%
4,Capteur,436m,noir
5,Batterie,70%
3,Batterie,75%
6,Batterie,38%
7,Moteur,259W
7,Capteur,64m,noir
6,Batterie,38%
8,Batterie,45%
3,Batterie,25%
8,Moteur,67W
3,Batterie,20%
3,Moteur,243W
6,Batterie,99%
6,Batterie,38%
7,Moteur,54W
7,Batterie,81%
4,Capteur,57m,noir
3,Batterie,5%
8,Capteur,911m,jaune
5,Batterie,27%
7,Batterie,8%
8,Capteur,293m,rouge
7,Batterie,56%
6,Capteur,349m,rouge
4,Capteur,673m,noir
6,Capteur,973m,noir
3,Batterie,33%
3,Batterie,76%
6,Batterie,55%
6,Batterie,23%
8,Capteur,939m,rouge
8,Moteur,275W
3,Moteur,96W
3,Moteur,115W
6,Batterie,45%
4,Batterie,62%
5,Capteur,928m,noir
6,Moteur,45W
3,Batterie,54%
5,Moteur,157W
7,Capteur,346m,jaune
8,Capteur,641m,rouge
5,Moteur,273W
6,Capteur,353m,rouge
7,Capteur,884m,rouge
4,Batterie,22%
5,Batterie,39%
5,Capteur,860m,jaune
8,Moteur,238W
5,Moteur,189W
6,Capteur,582m,noir
3,Batterie,75%
7,Batterie,46%
4,Batterie,98%
8,Moteur,255W
8,Capteur,400m,rouge
5,Capteur,713m,jaune
5,Moteur,112W
6,Moteur,55W
3,Moteur,225W
7,Batterie,58%
8,Capteur,809m,rouge
4,Batterie,15%
8,Capteur,171m,noir
7,Moteur,278W
4,Moteur,238W
6,Moteur,154W
8,Moteur,53W
7,Moteur,116W
6,Capteur,703m,noir
6,Capteur,286m,rouge
8,Capteur,581m,noir
3,Capteur,687m,rouge
6,Moteur,276W
8,Batterie,98%
5,Capteur,879m,jaune
6,Moteur,178W
5,Capteur,956m,jaune
7,Capteur,558m,jaune
7,Moteur,72W
7,Moteur,203W
8,Batterie,42%
4,Capteur,505m,noir
4,Moteur,38W
7,Batterie,2%
4,Moteur,210W
6,Moteur,283W
5,Moteur,139W
6,Moteur,187W
7,Capteur,117m,noir
7,Moteur,193W
4,Moteur,239W
5,Capteur,327m,jaune
5,Moteur,44W
5,Moteur,43W
8,Moteur,59W
4,Batterie,63%
7,Capteur,424m,rouge
8,Batterie,25%
8,Capteur,907m,rouge
7,Capteur,86m,noir
5,Batterie,2%
